Price,Date,Postcode,Year
850000,2016-07-15,SW18 4LN,2016
1650000,2016-05-20,SE11 6RE,2016
511700,2016-03-24,SW16 2HL,2016
485000,2016-06-16,SM4 4TA,2016
399000,2016-06-10,SM4 6RD,2016
635000,2016-07-01,DA6 8GA,2016
482000,2016-07-15,CR0 6TU,2016
606000,2016-06-22,BR5 1EE,2016
487500,2016-07-14,SE9 3RL,2016
129750,2016-07-08,SM2 6DF,2016
280000,2016-07-12,BR1 3HP,2016
310000,2016-07-01,BR1 2AG,2016
187500,2016-07-04,CR7 7RT,2016
298600,2016-07-01,CR8 2PH,2016
370000,2016-05-20,DA7 4DU,2016
415000,2016-05-09,SM6 8DX,2016
765000,2016-07-07,SE9 1PQ,2016
420000,2016-06-17,CR7 8AH,2016
230000,2016-07-07,SE12 9TW,2016
293000,2016-06-24,CR8 2PH,2016
284500,2016-07-18,SM2 5TR,2016
259000,2016-06-28,CR2 7EW,2016
340000,2016-07-19,CR0 8DH,2016
348000,2016-06-21,CR2 6LL,2016
285000,2016-06-24,DA7 4BE,2016
545000,2016-06-27,BR4 9NY,2016
312000,2016-06-24,CR2 8EQ,2016
285000,2016-07-14,DA1 4SU,2016
440000,2016-06-30,BR3 1NB,2016
1500000,2016-07-22,SW15 6NH,2016
265000,2016-07-07,SE9 4RS,2016
517000,2016-07-01,BR4 9PH,2016
260000,2016-04-27,SM6 8BG,2016
359950,2016-06-30,SE25 5QU,2016
315000,2016-04-29,SM6 8QQ,2016
450000,2016-06-17,BR3 4LE,2016
457000,2016-06-24,CR2 0NB,2016
325000,2016-07-08,SM6 0BL,2016
499950,2016-06-29,CR7 8DJ,2016
135000,2016-07-04,CR8 2HD,2016
375000,2016-06-16,KT5 8JB,2016
525000,2016-07-07,SE20 8BZ,2016
190000,2016-05-12,KT6 6DY,2016
390500,2016-07-01,CR0 2PY,2016
280000,2016-07-08,BR3 6SP,2016
240000,2016-06-17,SM3 9TN,2016
465000,2016-02-26,BR7 6FA,2016
135000,2016-03-18,SE25 5JN,2016
280000,2016-07-06,CR7 7NH,2016
482500,2016-07-14,KT6 4DP,2016
325000,2016-07-01,SE19 3LJ,2016
280000,2016-07-01,BR1 4EA,2016
255000,2016-07-06,CR2 7DW,2016
380000,2016-06-30,KT6 7LF,2016
350000,2016-05-31,KT2 7PY,2016
192000,2016-06-20,CR4 3LA,2016
380000,2016-05-20,SE26 6HT,2016
200000,2016-01-08,DA5 1LB,2016
399950,2016-01-15,CR8 2BX,2016
380000,2016-01-07,BR1 2TT,2016
341000,2016-06-13,BR3 5JB,2016
470000,2016-03-24,SW19 8TU,2016
845000,2016-01-27,SW20 0AT,2016
325000,2016-06-22,SM3 8AW,2016
230000,2016-07-08,SE25 6YA,2016
433500,2016-02-18,DA14 6PU,2016
330000,2016-03-23,DA16 1PY,2016
892500,2016-03-31,SW14 7NH,2016
586000,2016-04-01,KT5 8HH,2016
455000,2016-03-18,HA2 9BT,2016
459000,2016-03-31,HA2 9BW,2016
355000,2016-03-31,CR0 3HQ,2016
495000,2016-03-11,NW9 0JR,2016
453000,2016-04-22,HA2 9BP,2016
525000,2016-03-31,DA15 8AJ,2016
550000,2016-03-31,SM4 4HJ,2016
480000,2016-03-24,KT3 5LN,2016
460000,2016-03-31,KT3 5JG,2016
704000,2016-03-31,TW2 5AU,2016
993000,2016-03-31,KT6 4EH,2016
526000,2016-04-05,HA0 3QG,2016
415000,2016-03-29,SM3 9DT,2016
790000,2016-07-15,KT2 5DW,2016
336000,2016-05-26,SM5 2SP,2016
497000,2016-07-14,SM5 4PP,2016
435000,2016-06-30,CR8 1EL,2016
749950,2016-07-21,SW17 9ED,2016
450000,2016-06-28,CR7 7EZ,2016
560000,2016-09-02,CR2 6JG,2016
465000,2016-08-12,CR0 6TW,2016
500000,2016-08-01,SE19 3DG,2016
670000,2016-08-26,KT5 9HW,2016
430000,2016-03-31,DA16 1PQ,2016
482000,2016-03-22,N13 5DP,2016
375000,2016-03-31,UB2 5EN,2016
415000,2016-03-30,SM4 5PZ,2016
351000,2016-03-18,RM7 8NH,2016
900000,2016-03-22,SW19 4JE,2016
425000,2016-03-31,UB2 5EW,2016
520000,2016-04-15,HA3 6EZ,2016
436000,2016-03-31,KT6 7JU,2016
550000,2016-04-05,SM4 4HH,2016
365000,2016-03-14,CR5 3AJ,2016
305000,2016-03-24,DA15 9HR,2016
690000,2016-03-31,BR3 3HX,2016
800000,2016-03-29,NW10 1ND,2016
590000,2016-04-15,BR3 3PZ,2016
329500,2016-04-01,DA15 9HP,2016
399995,2016-03-31,DA15 9HP,2016
468000,2016-03-18,HA8 5SR,2016
660000,2016-03-31,HA3 8DE,2016
799950,2016-03-30,BR4 0HZ,2016
480000,2016-03-29,NW9 0LS,2016
460000,2016-03-24,CR0 8DJ,2016
685000,2016-03-30,HA9 7LH,2016
285000,2016-03-30,DA17 6DP,2016
270000,2016-03-30,DA15 9HF,2016
420000,2016-03-21,E17 4BP,2016
730000,2016-03-17,HA0 3RH,2016
425000,2016-03-23,BR1 4AN,2016
435000,2016-03-29,SM3 9AY,2016
460000,2016-04-01,DA15 9BL,2016
480000,2016-07-01,CR0 7JE,2016
390000,2016-08-22,SW17 9LL,2016
375000,2016-07-18,SE13 7SF,2016
785000,2016-07-01,SW12 0HQ,2016
570000,2016-08-16,SW9 7HS,2016
376500,2016-09-14,SE23 1AA,2016
620000,2016-09-23,SW12 9NS,2016
345000,2016-09-02,SW16 3QL,2016
449999,2016-08-11,SW16 2UG,2016
750000,2016-09-01,SE21 7LX,2016
327000,2016-09-16,SE26 4QJ,2016
560000,2016-08-30,SE5 8DG,2016
330000,2016-07-29,SE15 6FP,2016
477000,2016-08-26,SW14 7ED,2016
320000,2016-09-01,SE9 5PD,2016
1000000,2016-08-15,TW10 7JB,2016
315000,2016-05-23,SE26 6AG,2016
370000,2016-04-01,DA15 8HF,2016
485000,2016-04-15,BR3 4DJ,2016
1010000,2016-03-24,W5 1JQ,2016
435000,2016-03-30,SM4 5QB,2016
600000,2016-03-16,KT3 6AH,2016
340000,2016-03-18,DA16 2QD,2016
452500,2016-03-31,HA0 3AF,2016
650000,2016-03-31,SM4 4HS,2016
499950,2016-04-20,HA8 6JQ,2016
525000,2016-03-04,HA8 5RJ,2016
605000,2016-04-01,HA0 3BE,2016
630000,2016-03-29,TW7 5LF,2016
510000,2016-03-21,HA8 6LZ,2016
2600000,2016-03-23,TW9 4HP,2016
670000,2016-03-31,RM1 4DB,2016
350000,2016-04-06,E13 9LG,2016
350000,2016-07-11,SE6 1NE,2016
425000,2016-07-01,SE23 3BJ,2016
370000,2016-06-14,SE17 2EG,2016
490000,2016-05-31,SE26 6DN,2016
270000,2016-07-12,SE9 5RW,2016
536000,2016-07-08,SE24 0PA,2016
314950,2016-06-30,SE15 6LA,2016
607000,2016-06-28,SE24 9JL,2016
426000,2016-06-10,SE23 2UQ,2016
1072500,2016-06-17,SW13 8AJ,2016
1250000,2016-05-31,SW13 8AJ,2016
155000,2016-07-26,SE7 7HP,2016
373500,2016-06-20,SE3 7DU,2016
460000,2016-07-25,SW18 2JR,2016
530000,2016-08-17,SW2 2NB,2016
416000,2016-09-09,SE22 8NN,2016
426666,2016-09-09,SE16 7TB,2016
321000,2016-08-19,SE14 6BY,2016
450000,2016-07-22,SW11 2QU,2016
315000,2016-09-01,SE17 3SU,2016
289000,2016-09-05,SE10 8PD,2016
650000,2016-09-16,SW9 9AL,2016
345000,2016-08-10,SE28 0NA,2016
205000,2016-09-12,SE18 5NB,2016
509000,2016-07-19,SW2 1JE,2016
875000,2016-08-31,SW11 5LE,2016
1800000,2016-08-30,SW13 9NA,2016
935000,2016-04-06,SW11 6HR,2016
615000,2016-03-23,TW9 4LN,2016
515000,2016-03-30,SW11 1RE,2016
725000,2016-03-31,SW15 2DG,2016
785000,2016-03-03,SE1 0RY,2016
562000,2016-04-21,SE1 0RY,2016
455000,2016-03-30,SW17 0LR,2016
250000,2016-02-05,IG11 7QT,2016
495000,2016-04-15,SW11 1RG,2016
725000,2016-03-30,SE10 0JF,2016
400000,2016-03-30,SE12 8JQ,2016
660000,2016-03-31,SW15 5FA,2016
