Unique_Reference,Price,House_Type,Status_N,Tenure_Type,A,Live_Status,Easting,Northing,Year,Month,tfarea,numberrooms,CURRENT_ENERGY_EFFICIENCY,POTENTIAL_ENERGY_EFFICIENCY
{1C3E72FE-65FA-F410-E063-4804A8C0DFA6},1297800,T,N,F,A,live,530789.0,188303.0,2024,3,164.0,8.0,58,72
{1C3E72FE-65FC-F410-E063-4804A8C0DFA6},780000,S,N,F,A,live,507081.0,185481.0,2024,6,131.0,7.0,68,82
{1C3E72FE-65FD-F410-E063-4804A8C0DFA6},1400000,T,N,F,A,live,531522.0,188122.0,2024,5,125.0,6.0,50,81
{1C3E72FE-65FE-F410-E063-4804A8C0DFA6},1470000,T,N,F,A,live,531445.0,188906.0,2024,5,168.0,5.0,70,81
{1C3E72FE-65FF-F410-E063-4804A8C0DFA6},540000,S,N,F,A,live,511105.0,182890.0,2024,2,109.0,6.0,70,84
{1C3E72FE-6602-F410-E063-4804A8C0DFA6},490000,T,N,F,A,live,509347.0,174883.0,2024,1,92.0,5.0,70,85
{1C3E72FE-6603-F410-E063-4804A8C0DFA6},510000,S,N,F,A,live,509396.0,173365.0,2024,5,82.0,4.0,60,82
{1C3E72FE-6604-F410-E063-4804A8C0DFA6},761000,T,N,F,A,live,530125.0,191545.0,2024,6,119.0,6.0,69,85
