LSOA21CD,Formatted_Ward
E01000285,Barnet - Underhill
E01000178,Barnet - East Finchley
E01000063,Barking and Dagenham - Valence
E01000129,Barnet - Burnt Oak
E01000401,Bexley - East Wickham
E01000292,Barnet - Underhill
E01000289,Barnet - Underhill
E01000293,Barnet - Underhill
E01000295,Barnet - West Finchley
E01000302,Barnet - West Finchley
E01000296,Barnet - West Finchley
E01000301,Barnet - West Finchley
E01000299,Barnet - West Finchley
E01000317,Barnet - West Finchley
E01000300,Barnet - West Finchley
E01000316,Barnet - West Finchley
E01000303,Barnet - West Finchley
E01000297,Barnet - West Finchley
E01000319,Barnet - West Finchley
E01000298,Barnet - West Finchley
E01000309,Barnet - West Hendon
E01000312,Barnet - West Hendon
E01000310,Barnet - West Hendon
E01000306,Barnet - West Hendon
E01000313,Barnet - West Hendon
E01000308,Barnet - West Hendon
E01000150,Barnet - West Hendon
E01000307,Barnet - West Hendon
E01000305,Barnet - West Hendon
E01000314,Barnet - West Hendon
E01000274,Barnet - Whetstone
E01000284,Barnet - Whetstone
E01000281,Barnet - Whetstone
E01000282,Barnet - Whetstone
E01000266,Barnet - Whetstone
E01000273,Barnet - Whetstone
E01000272,Barnet - Whetstone
E01000324,Barnet - Woodhouse
E01000322,Barnet - Woodhouse
E01000315,Barnet - Woodhouse
E01000321,Barnet - Woodhouse
E01000320,Barnet - Woodhouse
E01000132,Barnet - Burnt Oak
E01000399,Bexley - East Wickham
E01000139,Barnet - Childs Hill
E01000103,Barking and Dagenham - Village
E01000398,Bexley - East Wickham
E01000144,Barnet - Childs Hill
E01000106,Barking and Dagenham - Village
E01000396,Bexley - East Wickham
E01000138,Barnet - Childs Hill
E01000108,Barking and Dagenham - Village
E01000185,Barnet - East Finchley
E01032566,Bexley - East Wickham
E01000146,Barnet - Childs Hill
E01000184,Barnet - East Finchley
E01000395,Bexley - East Wickham
E01000137,Barnet - Childs Hill
E01000179,Barnet - East Finchley
E01000455,Bexley - East Wickham
E01000135,Barnet - Childs Hill
E01000105,Barking and Dagenham - Village
E01000183,Barnet - East Finchley
E01000400,Bexley - East Wickham
E01000142,Barnet - Childs Hill
E01000107,Barking and Dagenham - Village
E01000177,Barnet - East Finchley
E01000373,Bexley - Erith
E01000214,Barnet - Childs Hill
E01000104,Barking and Dagenham - Village
E01000182,Barnet - East Finchley
E01000405,Bexley - Erith
E01000145,Barnet - Childs Hill
E01034470,Barking and Dagenham - Whalebone
E01000193,Barnet - Edgware
E01000406,Bexley - Erith
E01000140,Barnet - Childs Hill
E01034469,Barking and Dagenham - Whalebone
E01000192,Barnet - Edgware
E01000403,Bexley - Erith
E01000136,Barnet - Childs Hill
E01000111,Barking and Dagenham - Whalebone
E01000233,Barnet - Edgware
E01000407,Bexley - Erith
E01000151,Barnet - Colindale North
E01000099,Barking and Dagenham - Whalebone
E01000191,Barnet - Edgware
E01000404,Bexley - Erith
E01033916,Barnet - Colindale North
E01000112,Barking and Dagenham - Whalebone
E01000189,Barnet - Edgware
E01000367,Bexley - Erith
E01000154,Barnet - Colindale North
