Date,Price,Education_Growth_Rate,Bank_Growth_Rate,GDP_Growth_Rate,tfarea,numberrooms,CURRENT_ENERGY_EFFICIENCY,POTENTIAL_ENERGY_EFFICIENCY,postcode_freq,Region_BARNET,Region_BEXLEY,Region_BRENT,Region_BRIGHTON AND HOVE,Region_BROMLEY,Region_BROXBOURNE,Region_CAMDEN,Region_CASTLE POINT,Region_CHELMSFORD,Region_CITY OF LONDON,Region_CITY OF WESTMINSTER,Region_CROYDON,Region_EALING,Region_ELMBRIDGE,Region_ENFIELD,Region_EPPING FOREST,Region_EPSOM AND EWELL,Region_GREENWICH,Region_HACKNEY,Region_HAMMERSMITH AND FULHAM,Region_HARINGEY,Region_HARLOW,Region_HARROW,Region_HAVERING,Region_HILLINGDON,Region_HOUNSLOW,Region_ISLINGTON,Region_KENSINGTON AND CHELSEA,Region_KINGSTON UPON THAMES,Region_LAMBETH,Region_LEWISHAM,Region_MALVERN HILLS,Region_MERTON,Region_NEWHAM,Region_REDBRIDGE,Region_REIGATE AND BANSTEAD,Region_RICHMOND UPON THAMES,Region_SOUTH BUCKS,Region_SOUTHWARK,Region_STEVENAGE,Region_SUTTON,Region_THREE RIVERS,Region_THURROCK,Region_TOWER HAMLETS,Region_WALTHAM FOREST,Region_WANDSWORTH,Tenure_Type_L,Tenure_Type_U,House_Type_F,House_Type_S,House_Type_T,Year,Month,Year_offset,Year_offset_sq,Population
1995-01-31,73598.01435406698,4.2,0.4,0.5,78.17305766447369,3.792452830188679,61.41566985645933,74.58851674641149,2.127904370284907e-05,0.0,0.0,0.0002990430622009569,0.0,0.0002990430622009569,0.0,0.0002990430622009569,0.0,0.0,0.0,0.04844497607655503,0.0002990430622009569,0.053528708133971294,0.0,0.060705741626794256,0.0,0.0,0.03110047846889952,0.022129186602870814,0.0325956937799043,0.03738038277511962,0.0,0.03797846889952153,0.03618421052631579,0.03618421052631579,0.028409090909090908,0.012858851674641148,0.03618421052631579,0.04395933014354067,0.04395933014354067,0.04395933014354067,0.0,0.03917464114832536,0.03409090909090909,0.04844497607655503,0.0,0.031399521531100476,0.0,0.03588516746411483,0.0,0.041866028708133975,0.0,0.0,0.03349282296650718,0.046351674641148324,0.08223684210526316,0.527511961722488,0.0,0.5200358851674641,0.12739234449760767,0.33223684210526316,1995,1,0,0,7030000.0
1995-02-28,72376.04339314844,4.2,0.4,0.5,78.97854088091354,3.843432689158205,61.24567699836868,74.63817292006526,2.1317108621287986e-05,0.0,0.0,0.0009787928221859706,0.0,0.0006525285481239804,0.0,0.0003262642740619902,0.0,0.0,0.0,0.041109298531810765,0.0003262642740619902,0.0466557911908646,0.0,0.05742251223491028,0.0,0.0,0.03458401305057096,0.023491027732463296,0.028058727569331157,0.042088091353996736,0.0,0.03262642740619902,0.040783034257748776,0.05154975530179445,0.03099510603588907,0.01892332789559543,0.024469820554649267,0.040783034257748776,0.03947797716150082,0.039804241435562805,0.0,0.04013050570962479,0.04176182707993475,0.053833605220228384,0.0,0.037520391517128875,0.0,0.0365415986949429,0.0,0.03686786296900489,0.0,0.0,0.03588907014681892,0.04730831973898858,0.07438825448613377,0.5243066884176183,0.0,0.5145187601957586,0.13507340946166393,0.32822185970636214,1995,2,0,0,7030000.0
1995-03-31,72549.05549364832,4.2,0.4,0.5,78.08293592600847,3.8092898615453326,61.488299531981276,74.66592377980834,2.2008904817780576e-05,0.0,0.0,0.0006685981724983285,0.0,0.00022286605749944285,0.0,0.0,0.0,0.0,0.0,0.041230220637396925,0.0,0.0530421216848674,0.0,0.059950969467350124,0.0,0.00022286605749944285,0.028972587474927567,0.0234009360374415,0.030532649877423667,0.03877869400490305,0.0,0.0327613104524181,0.03788722977490528,0.047470470247381324,0.036550033429908625,0.016937820369957654,0.024292400267439267,0.03231557833741921,0.04145308669489637,0.042790283039893025,0.0,0.03833296188990417,0.04724760418988188,0.04969913082237575,0.0,0.04323601515489191,0.0,0.04167595275239581,0.0,0.047470470247381324,0.00022286605749944285,0.0,0.030309783819924226,0.03877869400490305,0.07310006685981725,0.53198127925117,0.0,0.5197236460887007,0.13706262536215735,0.32025852462669935,1995,3,0,0,7030000.0
1995-04-30,73055.449797023,3.9,0.4,0.2,78.75053388362652,3.8249796803034406,61.530446549391066,74.79756427604872,2.2367376077707554e-05,0.0,0.0,0.0005412719891745603,0.0,0.00027063599458728013,0.0,0.0,0.0,0.0,0.0,0.036265223274695536,0.0,0.04546684709066306,0.0,0.05764546684709066,0.0,0.0,0.03139377537212449,0.02327469553450609,0.033288227334235455,0.03924221921515562,0.0,0.031664411366711775,0.04573748308525034,0.04384303112313938,0.03599458728010826,0.01650879566982409,0.02868741542625169,0.03545331529093369,0.047631935047361296,0.038159675236806495,0.0,0.041677943166441134,0.03897158322056834,0.055209742895805144,0.0,0.038159675236806495,0.0,0.03247631935047361,0.0,0.04032476319350474,0.0,0.0,0.041407307171853855,0.04709066305818674,0.07361299052774019,0.5317997293640054,0.0,0.5182679296346414,0.13423545331529094,0.32476319350473615,1995,4,0,0,7030000.0
1995-05-31,72293.32911392405,3.9,0.4,0.2,76.67411092750288,3.764434180138568,61.41357882623706,74.82370540851554,2.224689788787435e-05,0.0,0.0,0.00046029919447640965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03521288837744534,0.0,0.048791714614499423,0.0,0.059148446490218644,0.0,0.0,0.032681242807825084,0.016570771001150748,0.025776754890678943,0.04027617951668585,0.0,0.032681242807825084,0.04372842347525892,0.04626006904487917,0.032681242807825084,0.015650172612197928,0.021634062140391253,0.03199079401611047,0.04556962025316456,0.04487917146144994,0.0,0.03751438434982739,0.04626006904487917,0.06628308400460299,0.0,0.03360184119677791,0.0,0.03636363636363636,0.0,0.050863060989643265,0.0,0.0,0.03406214039125432,0.04372842347525892,0.07686996547756042,0.5445339470655927,0.0,0.531415420023015,0.1323360184119678,0.315765247410817,1995,5,0,0,7030000.0
1995-06-30,73701.67416207043,3.9,0.4,0.2,76.60244316928299,3.7356566085847853,61.85532456512516,75.09800593975392,2.3114056771577432e-05,0.00021213406873143826,0.0,0.00021213406873143826,0.0,0.0,0.0,0.00021213406873143826,0.0,0.0,0.0,0.03818413237165889,0.00021213406873143826,0.044972422571064916,0.0,0.057276198557488334,0.0,0.0,0.035002121340687316,0.022698345354263894,0.031607976240984305,0.03818413237165889,0.0,0.029910903691132796,0.03372931692829868,0.04051760712770471,0.044336020364870596,0.019940602460755196,0.022274077216801018,0.03691132795927026,0.040941875265167585,0.0460330929147221,0.0,0.04645736105218498,0.03966907085277896,0.04624522698345354,0.0,0.040729741196436145,0.0,0.037335596096733134,0.0,0.04963937208315655,0.0,0.0,0.037123462028001694,0.048578701739499366,0.07021637675010607,0.5396690708527789,0.0,0.5305473058973271,0.13279592702588036,0.31671616461603735,1995,6,0,0,7030000.0
1995-07-31,74792.60440862764,2.7,1.0,1.1,79.65588222327567,3.878002378121284,61.46077269495141,74.76084380184878,2.1560717246455364e-05,0.0,0.0,0.000711068973690448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03697558663190329,0.0,0.0533301730267836,0.0,0.05641147191277554,0.0,0.0,0.03673856364067315,0.019672908272102396,0.025598483052856127,0.033657264754681206,0.0,0.03579047167575255,0.03744963261436359,0.041716046456506284,0.041716046456506284,0.022280161175634035,0.02844275894761792,0.03484237971083195,0.04361223038634748,0.04621948328987912,0.0,0.041004977482815834,0.04219009243896658,0.0542782649917042,0.0,0.03910879355297464,0.0,0.04361223038634748,0.0,0.041004977482815834,0.0,0.0,0.02773168997392747,0.04313818440388718,0.07181796634273524,0.5209765347238682,0.0,0.5039108793552974,0.14245081772931975,0.33183218772220907,1995,7,0,0,7030000.0
1995-08-31,74490.48511772546,2.7,1.0,1.1,79.20783605064416,3.8837416481069043,61.51510439804532,74.96046201688138,2.191528868812676e-05,0.0,0.0,0.000888494002665482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03642825410928476,0.0,0.04953354064860062,0.0,0.0579742336739227,0.0,0.0,0.033096401599289206,0.0173256330519769,0.029764549089293647,0.03398489560195469,0.0,0.0346512661039538,0.036650377609951136,0.047534429142603286,0.047090182141270545,0.0173256330519769,0.019102621057307864,0.03953798311861395,0.04309195912927588,0.04731230564193692,0.0,0.04531319413593958,0.043536206130608615,0.04575744113727232,0.0,0.03931585961794758,0.0,0.03598400710795202,0.0,0.03820524211461573,0.0,0.0,0.04375832963127499,0.045535317636605954,0.07107952021323856,0.5055530875166593,0.0002221235006663705,0.4944469124833407,0.15082185695246558,0.33318525099955576,1995,8,0,0,7030000.0
1995-09-30,73838.93518518518,2.7,1.0,1.1,78.23564715099715,3.814374107567825,61.594729344729345,74.99264007597341,2.2507209944694957e-05,0.00023741690408357076,0.0,0.0004748338081671415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04131054131054131,0.0,0.048907882241215575,0.0,0.06481481481481481,0.0,0.0,0.033713200379867046,0.016856600189933523,0.030389363722697058,0.0365622032288699,0.0,0.030151946818613485,0.036799620132953466,0.048670465337132006,0.052231718898385564,0.020892687559354226,0.023741690408357077,0.03941120607787275,0.04154795821462488,0.04534662867996201,0.0,0.03798670465337132,0.03584995251661918,0.054843304843304845,0.0,0.039648622981956316,0.0,0.030626780626780627,0.0,0.03798670465337132,0.0,0.0,0.03727445394112061,0.0446343779677113,0.06908831908831908,0.5223171889838556,0.0,0.5118708452041786,0.12654320987654322,0.3383190883190883,1995,9,0,0,7030000.0
1995-10-31,72751.82213642214,1.9,0.2,0.3,78.1976358043758,3.8001549186676993,61.77194337194337,74.93204633204633,2.244344891091254e-05,0.0002574002574002574,0.0,0.0002574002574002574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04066924066924067,0.0,0.055083655083655085,0.0,0.05842985842985843,0.0,0.0,0.03449163449163449,0.023166023166023165,0.029343629343629343,0.04272844272844273,0.0,0.03166023166023166,0.03500643500643501,0.04555984555984556,0.05431145431145431,0.02059202059202059,0.021106821106821105,0.03783783783783784,0.03835263835263835,0.04066924066924067,0.0,0.037065637065637064,0.044787644787644784,0.04839124839124839,0.0,0.037065637065637064,0.0,0.03371943371943372,0.0,0.043758043758043756,0.0,0.0,0.029343629343629343,0.047876447876447875,0.06846846846846846,0.525096525096525,0.0,0.5086229086229086,0.13256113256113256,0.3364221364221364,1995,10,0,0,7030000.0
