pub_name_ward,longitude,latitude
Harlequin - Clerkenwell,-0.1045227816767204,51.52960001220874
Peasant - Clerkenwell,-0.1016791037548584,51.52551590485401
Blues Kitchen - Hoxton East & Shoreditch,-0.0783860953062559,51.52605391772326
Caraway Lounge - Brooklands,0.1743635574056781,51.5846782215041
Rye - Rye Lane,-0.0638113880836483,51.4641356522452
Eleven - Balham,-0.1466936567492077,51.44233471981021
Royal - Northfield,-0.3250015995528789,51.49778281026171
Bitter End Bar - Bromley Town,0.026833437505355,51.395680009795896
Hope - Peckham,-0.0694524445919349,51.47307848719919
Blues Kitchen - Ferndale,-0.1188335031140007,51.45979724415786
Richmal Crompton - Bromley Town,0.0178895370188043,51.39924309155157
Partridge - Bromley Town,0.0158713926434575,51.40468316095841
Bar Sport - Bromley Town,0.0158713926434575,51.40468316095841
Havet - Bromley Town,0.0154794466561374,51.40558029850138
Greyhound - Bromley Town,0.0147328831395387,51.405934906336284
Star & Garter - Bromley Town,0.0140632904966193,51.40640510662853
Swan & Mitre - Bromley Town,0.0135859334459573,51.406341360514965
Metropolis - Bromley Town,0.0135859334459573,51.406341360514965
Barrel & Horn - Bromley Town,0.0149845660363188,51.40544490851622
O'Neill's - Bromley Town,0.0172613849003371,51.4062061847306
Railway Tavern - Bromley Town,0.0178087612087787,51.406880294109605
Belgo - Bickley,0.0372319601679416,51.40320743180347
Lord Holmesdale - Bickley,0.036575320461777,51.39943241027952
Oak - Bickley,0.03570053319932,51.40531164412234
Crown & Anchor - Plaistow and Sundridge,0.0232335096158188,51.407605186306895
Freelands Tavern - Plaistow and Sundridge,0.0262051787949185,51.41009010979857
White Horse - Plaistow and Sundridge,0.0224876770629978,51.40830159874149
Anglesey Arms - Plaistow and Sundridge,0.0224876770629978,51.40830159874149
Red Lion - Plaistow and Sundridge,0.0234733254636142,51.4094537857575
Hop & Rye - Plaistow and Sundridge,0.0113617869207138,51.411038390184494
Prince Frederick - Plaistow and Sundridge,0.0208948128511627,51.41522739020383
Bonnie's - Downham,-3.604398052209928e-05,51.42042521069325
Downham Tavern - Downham,0.014729034980191,51.42710653439243
Shortlands Tavern - Bromley Town,0.0057933203390936,51.40440643616434
Greyhound - Bromley Common and Keston,0.0301750588631205,51.363019132750246
Fox Inn - Bromley Common and Keston,0.0289001504204384,51.36082871144336
Crown Inn - Darwin,0.0317945157849157,51.34150444613813
Kings Arms - Darwin,0.0312338200047999,51.3346697451018
New Inn - Hayes and Coney Hall,0.012891721411469,51.3754682406812
