Price,Date,Postcode,Year
910000,2023-04-14,SM3 8EA,2023
560000,2023-05-05,KT3 4LY,2023
510000,2023-04-13,KT5 8DN,2023
1830000,2023-04-28,KT6 4RH,2023
525000,2023-04-26,SM3 9TU,2023
700000,2023-03-31,SM3 9SF,2023
630000,2023-04-19,KT3 4AW,2023
980000,2023-04-21,SW19 8BH,2023
755000,2023-03-30,SW20 8DY,2023
1900000,2023-04-27,KT6 6QA,2023
780000,2023-05-04,CR2 8BA,2023
973831,2023-05-09,SW19 1ES,2023
675000,2023-04-28,SM1 3PT,2023
409000,2023-03-31,CR0 6DY,2023
405000,2023-03-31,CR0 2SJ,2023
520000,2023-04-21,SE25 4HG,2023
3500000,2023-04-25,TW10 6PF,2023
590000,2023-03-17,CR5 1JE,2023
1095000,2023-04-26,TW9 1YB,2023
491500,2023-03-31,SM1 2JA,2023
2400000,2023-04-06,TW10 6AP,2023
710000,2023-03-31,SW17 9RH,2023
2501000,2023-04-21,TW10 6QJ,2023
790000,2023-04-28,SE25 4AD,2023
2100000,2023-04-12,SW19 8PN,2023
655000,2023-04-12,SM1 3LW,2023
1175000,2023-03-31,KT5 8QE,2023
525000,2023-04-28,CR5 1LN,2023
635000,2023-04-28,SM1 3AT,2023
710000,2023-04-03,KT4 8BJ,2023
900000,2023-05-02,SE19 3QT,2023
405000,2023-04-28,SM1 3RT,2023
440500,2023-04-14,SM1 2QG,2023
794000,2023-05-03,SW19 1JT,2023
211300,2023-03-17,CR7 7RQ,2023
650000,2023-04-28,CR8 2NS,2023
1737500,2023-03-31,SM2 7EP,2023
640000,2023-04-17,SM5 3BN,2023
523000,2023-04-28,CR0 9BF,2023
510000,2023-04-21,SM1 3PN,2023
300000,2023-03-28,KT6 5RY,2023
985000,2023-04-20,KT6 4SR,2023
557000,2023-05-03,SW19 1EX,2023
2000000,2023-05-05,SW13 9BL,2023
1465000,2023-04-06,TW10 5DU,2023
1481500,2023-04-06,SW19 8BH,2023
330000,2023-03-31,SM1 3SU,2023
490000,2023-04-17,SM1 2JE,2023
530000,2023-04-27,CR8 5BY,2023
265000,2023-03-24,CR2 0PA,2023
365000,2023-04-28,SM4 4LF,2023
550000,2023-05-02,KT9 2HN,2023
1225000,2023-05-10,SM2 6HL,2023
846950,2023-03-20,KT5 9DU,2023
570000,2023-04-21,KT3 6NA,2023
400000,2023-04-11,KT6 6DY,2023
935000,2023-03-28,SM3 8EE,2023
540000,2023-04-24,SM5 3EZ,2023
2275000,2023-04-25,TW10 6PG,2023
735000,2023-05-04,KT6 7NR,2023
700000,2023-04-28,CR2 7JD,2023
2850000,2023-04-14,SW19 3EY,2023
640000,2023-04-14,TW9 2EN,2023
780000,2023-05-04,KT5 9JN,2023
388000,2023-05-12,SM1 2AH,2023
1125000,2023-05-09,SW13 0JN,2023
505000,2023-05-12,KT9 1NF,2023
370000,2023-05-10,SM3 8JG,2023
1230000,2023-03-28,SW14 7QB,2023
337500,2023-06-23,W6 0AD,2023
1000,2023-01-24,RM1 3ER,2023
430000,2023-05-26,SW6 5QE,2023
350765,2023-05-05,E18 2PE,2023
8000,2023-02-09,SW6 3JJ,2023
105000,2023-07-04,SW7 3DU,2023
480000,2023-06-01,W2 4ES,2023
380000,2023-06-20,W14 9HF,2023
330000,2023-07-07,RM2 6AU,2023
910000,2023-07-06,SW5 9EU,2023
50000,2023-02-01,SW3 1NX,2023
800000,2023-05-12,SW6 6PP,2023
1512000,2023-01-19,IG1 3RD,2023
285000,2023-03-31,E18 2JG,2023
1300000,2023-02-27,NW10 6RE,2023
100,2023-02-16,RM12 4TQ,2023
575000,2023-06-28,SW5 9NW,2023
327000,2023-05-23,IG8 0DB,2023
509600,2023-06-14,E18 1LS,2023
350000,2023-04-11,RM3 0LU,2023
385000,2023-03-06,W14 8PB,2023
2000000,2023-03-06,W14 8PB,2023
575000,2023-05-25,W12 7AE,2023
1200000,2023-06-14,SW6 6AD,2023
555000,2023-06-21,W12 0JU,2023
5400000,2023-07-12,W10 6HJ,2023
272000,2023-05-12,W12 9AL,2023
450000,2023-04-28,SM6 0TX,2023
875000,2023-03-23,SW19 1BU,2023
710000,2023-05-15,CR2 7NJ,2023
1410000,2023-04-21,SW20 0PQ,2023
660000,2023-04-28,SE19 2NP,2023
560000,2023-05-05,SM3 8EN,2023
620000,2023-03-31,CR0 4PP,2023
805000,2023-04-13,CR5 1PA,2023
645000,2023-02-24,SM4 4PS,2023
507100,2023-04-18,SM5 2EZ,2023
1700000,2023-03-24,TW9 2HB,2023
1800000,2023-05-12,SW13 9NL,2023
475000,2023-03-31,SM5 2AL,2023
562000,2023-01-27,CR4 2HJ,2023
1340000,2023-04-06,SW13 9JQ,2023
585000,2023-05-05,CR0 4PE,2023
462500,2023-04-19,KT9 2PW,2023
540000,2023-04-17,CR4 1HB,2023
1325000,2023-05-12,KT2 5JB,2023
1030000,2023-06-09,SM7 1QH,2023
1210000,2023-05-04,SW19 8BZ,2023
1610000,2023-06-02,TW10 7DA,2023
490500,2023-06-02,SE19 3DG,2023
256650,2023-05-03,KT3 6BX,2023
1020000,2023-05-26,KT2 6HU,2023
875000,2023-05-17,CR8 2HE,2023
580000,2023-05-31,KT4 8PL,2023
845000,2023-02-22,KT4 7LE,2023
1025000,2023-05-04,KT2 6HY,2023
900000,2023-06-05,KT2 6DN,2023
1025000,2023-05-12,KT2 6LS,2023
1325000,2023-02-14,SW19 8PE,2023
500000,2023-06-14,KT1 3BY,2023
550000,2023-05-30,CR0 8DN,2023
570000,2023-03-17,SM4 4BW,2023
2075000,2023-04-27,SW13 0NX,2023
